23/04/2013 15:34:22 - New match 01010101 has started
23/04/2013 15:36:04 - Roman killed Nick using M16
23/04/2013 15:36:33 - <WORLD> killed Nick by DROWN
23/04/2013 15:35:04 - Roman killed Nick using M16
23/04/2013 15:36:06 - Roman killed Nick using M12
23/04/2013 15:36:10 - Roman killed Nick using M12
23/04/2013 15:37:04 - Nick killed Roman using M12
23/04/2013 15:38:04 - Nick killed Roman using M16
23/04/2013 15:39:00 - <WORLD> killed Roman by DROWN
23/04/2013 15:39:05 - Nick killed Roman using M16
23/04/2013 15:39:07 - MutuMb0 killed Roman using Ak47
23/04/2013 15:39:09 - MutuMb0 killed Roman using Ak47
23/04/2013 15:39:10 - MutuMb0 killed Nick using Ak47
23/04/2013 15:39:20 - MutuMb0 killed Roman using Ak47
23/04/2013 15:39:21 - MutuMb0 killed Nick using Ak47
23/04/2013 15:46:33 - <WORLD> killed Nick by DROWN
23/04/2013 15:46:45 - Roman killed Jose using M12
23/04/2013 15:46:46 - Nick killed Jose using M12
23/04/2013 15:46:47 - MutuMb0 killed Jose using Ak47
23/04/2013 15:47:47 - Joao killed Jose using Ak47
23/04/2013 15:48:47 - Joao killed Nick using Ak47
23/04/2013 15:48:47 - MutuMb0 killed Roman using M16
23/04/2013 15:49:52 - Match 01010101 has ended
